iter	Passed	Remaining
401	17277	25701
402	17323	25662
403	17368	25623
404	17418	25590
405	17470	25559
406	17522	25530
407	17578	25506
408	17632	25479
409	17677	25438
410	17724	25400
411	17774	25367
412	17821	25330
413	17867	25290
414	17917	25256
415	17968	25225
416	18020	25194
417	18078	25171
418	18132	25142
419	18180	25105
420	18227	25068
421	18275	25032
422	18321	24991
423	18370	24955
424	18419	24920
425	18471	24889
426	18529	24865
427	18583	24835
428	18636	24804
429	18682	24765
430	18728	24725
431	18774	24684
432	18832	24660
433	18876	24618
434	18921	24575
435	18968	24537
436	19028	24514
437	19087	24490
438	19141	24461
439	19189	24423
440	19235	24381
441	19284	24346
442	19332	24307
443	19376	24264
444	19425	24227
445	19474	24190
446	19530	24162
447	19590	24138
448	19642	24104
449	19688	24063
450	19737	24026
451	19783	23984
452	19825	23939
453	19871	23898
454	19914	23853
455	19960	23812
456	20014	23781
457	20069	23750
458	20124	23720
459	20174	23683
460	20218	23639
461	20264	23598
462	20312	23559
463	20361	23521
464	20407	23479
465	20452	23436
466	20499	23396
467	20555	23366
468	20610	23334
469	20659	23296
470	20706	23256
471	20753	23215
472	20801	23175
473	20846	23133
474	20893	23092
475	20937	23049
476	20981	23005
477	21030	22966
478	21080	22928
479	21129	22890
480	21184	22858
481	21230	22815
482	21276	22774
483	21323	22733
484	21368	22690
485	21414	22647
486	21462	22608
487	21507	22564
488	21551	22520
489	21600	22481
490	21654	22447
491	21707	22413
492	21759	22377
493	21806	22335
494	21851	22293
495	21897	22250
496	21940	22205
497	21986	22163
498	22035	22123
499	22079	22079
500	22122	22034
501	22183	22006
502	22236	21971
503	22296	21943
504	22350	21908
505	22401	21870
506	22445	21825
507	22495	21787
508	22544	21747
509	22592	21706
510	22641	21666
511	22696	21632
512	22752	21599
513	22806	21563
514	22863	21531
515	22908	21487
516	22958	21449
517	23004	21406
518	23047	21360
519	23093	21316
520	23137	21272
521	23183	21229
522	23238	21194
523	23293	21159
524	23346	21123
525	23392	21079
526	23439	21037
527	23486	20995
528	23533	20952
529	23576	20907
530	23621	20863
531	23668	20821
532	23713	20776
533	23762	20736
534	23814	20698
535	23878	20670
536	23928	20631
537	23976	20589
538	24024	20548
539	24070	20504
540	24116	20461
541	24161	20417
542	24206	20372
543	24251	20328
544	24297	20285
545	24352	20249
546	24412	20217
547	24463	20177
548	24514	20138
549	24564	20098
550	24610	20054
551	24657	20011
552	24704	19969
553	24749	19924
554	24795	19880
555	24845	19840
556	24896	19800
557	24950	19763
558	25003	19725
559	25050	19682
560	25094	19636
561	25139	19592
562	25184	19548
563	25228	19503
564	25274	19459
565	25327	19421
566	25380	19382
567	25437	19346
568	25488	19306
569	25536	19264
570	25584	19222
571	25629	19177
572	25676	19134
573	25723	19091
574	25767	19045
575	25811	19000
576	25859	18957
577	25915	18920
578	25968	18881
579	26024	18845
580	26071	18802
581	26118	18758
582	26161	18712
583	26204	18665
584	26249	18621
585	26295	18577
586	26340	18532
587	26390	18491
588	26446	18454
589	26500	18415
590	26547	18372
